,Month,DelaiIntervention
0,Janvier,342.494662866404
1,Février,346.5364788503814
2,Mars,345.3140409186259
3,Avril,340.22018537026133
4,Mai,342.779579777589
5,Juin,351.81120692892097
6,Juillet,359.483832471444
7,Août,348.8998123782834
8,Septembre,350.03434026610904
9,Octobre,350.62094467647165
10,Novembre,352.91509787744695
11,Décembre,353.8968008001087
